q_year,gdp,capacity_manuf,cpi,unemp,leadin_ind,quarter_y,year_y,fed_funds_rate,tbill_3,tbill_6,quarter,year
1_1972,1266.369,81.73,41.33333333,5.766666667,101.7705486,1,1972,3.549010989,3.445396825,3.814603175,1,1972
2_1972,1290.566,82.76983333,41.6,5.7,102.3542934,2,1972,4.301428571,3.7709375,4.23234375,2,1972
3_1972,1328.904,83.23723333,41.93333333,5.566666667,102.8039529,3,1972,4.741413043,4.210952381,4.715396825,3,1972
4_1972,1377.49,85.66843333,42.36666667,5.366666667,103.2977918,4,1972,5.145543478,4.862833333,5.173,4,1972
1_1973,1413.887,87.70966667,43.03333333,4.933333333,103.2395766,1,1973,6.538222222,5.706774194,5.998225806,1,1973
2_1973,1433.838,87.68933333,43.93333333,4.933333333,102.4070728,2,1973,7.818461538,6.603650794,6.791904762,2,1973
3_1973,1476.289,87.49796667,44.8,4.8,101.445466,3,1973,10.55771739,8.335079365,8.413174603,3,1973
4_1973,1491.209,88.28236667,45.93333333,4.766666667,100.8211009,4,1973,9.99673913,7.497166667,7.6095,4,1973
1_1974,1530.056,86.63726667,47.3,5.133333333,100.1887109,1,1974,9.333777778,7.645081967,7.510819672,1,1974
2_1974,1560.026,85.7387,48.56666667,5.2,99.19622055,2,1974,11.25131868,8.159365079,8.282698413,2,1974
3_1974,1599.679,84.761,49.93333333,5.633333333,97.81980313,3,1974,12.09858696,8.19296875,8.52578125,3,1974
4_1974,1616.116,80.453,51.46666667,6.6,96.47421518,4,1974,9.344347826,7.358360656,7.459508197,4,1974
1_1975,1651.853,73.3161,52.56666667,8.266666667,96.21393247,1,1975,6.305333333,5.775,5.891833333,1,1975
2_1975,1709.82,71.71013333,53.2,8.866666667,97.20582863,2,1975,5.418461538,5.396875,5.736875,2,1975
3_1975,1761.831,73.70646667,54.26666667,8.466666667,98.49896388,3,1975,6.155869565,6.3284375,6.78109375,3,1975
4_1975,1820.487,75.28913333,55.26666667,8.3,99.62114,4,1975,5.411195652,5.637540984,5.980163934,4,1975
1_1976,1852.332,77.40473333,55.9,7.733333333,100.5801214,1,1976,4.826483516,4.921290323,5.268225806,1,1976
2_1976,1886.558,78.15116667,56.4,7.566666667,100.9722697,2,1976,5.195384615,5.159047619,5.523015873,2,1976
3_1976,1934.273,78.71303333,57.3,7.733333333,100.9554295,3,1976,5.283478261,5.151875,5.41078125,3,1976
4_1976,1988.648,79.28226667,58.13333333,7.766666667,101.0676011,4,1976,4.87423913,4.660491803,4.806229508,4,1976
1_1977,2055.909,80.66813333,59.2,7.5,101.5124467,1,1977,4.660666667,4.626507937,4.866825397,1,1977
2_1977,2118.473,82.79286667,60.23333333,7.133333333,101.7904285,2,1977,5.157472527,4.843650794,5.076507937,2,1977
3_1977,2164.27,83.0905,61.06666667,6.9,101.6579331,3,1977,5.816413043,5.504761905,5.768253968,3,1977
4_1977,2202.76,83.1472,61.96666667,6.666666667,101.4578064,4,1977,6.511304348,6.109333333,6.410333333,4,1977
1_1978,2331.633,82.49766667,63.03333333,6.333333333,101.4697723,1,1978,6.759555556,6.389016393,6.688032787,1,1978
2_1978,2395.053,84.60616667,64.46666667,6,101.8357384,2,1978,7.282637363,6.483174603,7.002857143,2,1978
3_1978,2476.949,84.7807,65.96666667,6.033333333,101.9808268,3,1978,8.094782609,7.299047619,7.58952381,3,1978
4_1978,2526.61,85.75733333,67.5,5.9,101.6124783,4,1978,9.577826087,8.560819672,9.04,4,1978
1_1979,2591.247,85.3178,69.2,5.866666667,101.1096676,1,1979,10.07322222,9.387741935,9.452258065,1,1979
2_1979,2667.565,84.2687,71.4,5.7,100.4883389,2,1979,10.18197802,9.374354839,9.36,2,1979
3_1979,2723.883,83.35826667,73.7,5.866666667,99.78908229,3,1979,10.9401087,9.650952381,9.621587302,3,1979
4_1979,2789.842,82.74046667,76.03333333,5.966666667,99.08639399,4,1979,13.58021739,11.83934426,11.77032787,4,1979
1_1980,2797.352,82.36883333,79.03333333,6.3,98.28618981,1,1980,15.06527473,13.34596774,13.23483871,1,1980
2_1980,2856.483,77.5807,81.7,7.333333333,97.98740339,2,1980,12.6689011,9.618253968,9.61015873,2,1980
3_1980,2985.557,75.33483333,83.23333333,7.666666667,99.15278053,3,1980,9.823152174,9.13546875,9.329375,3,1980
4_1980,3124.206,78.27336667,85.56666667,7.4,99.99536267,4,1980,15.85282609,13.60491803,13.23803279,4,1980
1_1981,3162.532,77.79406667,87.93333333,7.433333333,99.8251603,1,1981,16.59555556,14.35295082,13.61360656,1,1981
2_1981,3260.609,77.7046,89.76666667,7.4,99.37428298,2,1981,17.78692308,14.88539683,14.25539683,2,1981
3_1981,3280.818,76.9668,92.26666667,7.4,98.65673173,3,1981,17.59434783,15.05078125,15.05078125,3,1981
4_1981,3274.302,74.26526667,93.76666667,8.233333333,97.82799289,4,1981,13.58836957,11.77786885,12.24590164,4,1981
1_1982,3331.972,71.91716667,94.6,8.833333333,97.08779697,1,1982,14.20744444,12.78327869,13.03754098,1,1982
2_1982,3366.322,71.15693333,95.96666667,9.433333333,96.66736014,2,1982,14.51417582,12.42507937,12.56269841,2,1982
3_1982,3402.561,70.12913333,97.63333333,9.9,96.92415595,3,1982,11.01271739,9.30640625,10.3709375,3,1982
4_1982,3473.413,68.3153,97.93333333,10.66666667,97.79238313,4,1982,9.283913043,7.90295082,8.256229508,4,1982
1_1983,3578.848,69.69653333,98,10.36666667,99.26351175,1,1983,8.657555556,8.113650794,8.178730159,1,1983
2_1983,3689.179,71.68836667,99.13333333,10.13333333,100.8635016,2,1983,8.802747253,8.407936508,8.476666667,2,1983
3_1983,3794.706,74.2619,100.1,9.366666667,101.90226,3,1983,9.458152174,9.14703125,9.3103125,3,1983
4_1983,3908.054,76.38333333,101.1,8.533333333,102.2905912,4,1983,9.430108696,8.802333333,8.983833333,4,1983
1_1984,4009.601,78.4789,102.5333333,7.866666667,102.1648172,1,1984,9.688571429,9.177580645,9.294032258,1,1984
2_1984,4084.25,79.2208,103.5,7.433333333,101.5254723,2,1984,10.55472527,9.800952381,10.2247619,2,1984
3_1984,4148.551,79.28076667,104.4,7.433333333,100.7835092,3,1984,11.39228261,10.32,10.53873016,3,1984
4_1984,4230.168,79.06846667,105.3,7.3,100.3813908,4,1984,9.2625,8.83442623,9.01852459,4,1984
1_1985,4294.887,78.32546667,106.2666667,7.233333333,100.2152839,1,1985,8.475111111,8.175,8.433666667,1,1985
2_1985,4386.773,77.75446667,107.2333333,7.3,100.1156357,2,1985,7.924395604,7.468412698,7.667460317,2,1985
3_1985,4444.094,77.20673333,107.9,7.2,100.0370643,3,1985,7.900978261,7.106031746,7.259206349,3,1985
4_1985,4507.894,77.28633333,109,7.033333333,100.0291096,4,1985,8.104456522,7.163709677,7.255483871,4,1985
1_1986,4545.34,77.96436667,109.5666667,7.033333333,100.0817266,1,1986,7.826888889,6.899666667,6.949333333,1,1986
2_1986,4607.669,77.64616667,109.0333333,7.166666667,100.0476907,2,1986,6.918461538,6.1371875,6.175625,2,1986
3_1986,4657.627,77.89806667,109.7,6.966666667,99.93373763,3,1986,6.209456522,5.5265625,5.5925,3,1986
4_1986,4722.156,78.4971,110.4666667,6.833333333,99.89554326,4,1986,6.26673913,5.352580645,5.406612903,4,1986
1_1987,4806.16,79.0818,111.8,6.6,100.2758595,1,1987,6.222555556,5.538360656,5.544754098,1,1987
2_1987,4884.555,79.8175,113.0666667,6.266666667,100.7809979,2,1987,6.65,5.654920635,5.980793651,2,1987
3_1987,5007.994,80.69713333,114.2666667,6,100.8748159,3,1987,6.839565217,6.03671875,6.17734375,3,1987
4_1987,5073.372,82.49873333,115.3333333,5.833333333,100.4688544,4,1987,6.919673913,5.869193548,6.417903226,4,1987
1_1988,5190.036,82.831,116.2333333,5.7,100.2809207,1,1988,6.665934066,5.723225806,6.020645161,1,1988
2_1988,5282.835,83.70966667,117.5666667,5.466666667,100.4192469,2,1988,7.154945055,6.216666667,6.50047619,2,1988
3_1988,5399.509,83.84463333,119,5.466666667,100.5359461,3,1988,7.983478261,7.01625,7.27953125,3,1988
4_1988,5511.253,84.59553333,120.3,5.333333333,100.5350034,4,1988,8.468478261,7.730819672,7.866393443,4,1988
1_1989,5612.463,84.74716667,121.6666667,5.2,100.3633071,1,1989,9.446444444,8.546557377,8.597868852,1,1989
2_1989,5695.365,83.6215,123.6333333,5.233333333,99.94573056,2,1989,9.725714286,8.403125,8.32375,2,1989
3_1989,5747.237,82.3544,124.6,5.233333333,99.73146814,3,1989,9.083586957,7.846984127,7.697619048,3,1989
4_1989,5872.701,81.7527,125.8666667,5.366666667,99.76026203,4,1989,8.614456522,7.651451613,7.511935484,4,1989
1_1990,5960.028,82.0038,128.0333333,5.3,99.83358473,1,1990,8.248,7.763548387,7.702419355,1,1990
2_1990,6015.116,81.98366667,129.3,5.333333333,99.58377438,2,1990,8.239340659,7.746666667,7.743015873,2,1990
3_1990,6004.733,81.6969,131.5333333,5.7,98.57002251,3,1990,8.160217391,7.477142857,7.406349206,3,1990
4_1990,6035.178,79.90733333,133.7666667,6.133333333,97.5552658,4,1990,7.743369565,6.99483871,6.968709677,4,1990
1_1991,6126.862,77.7847,134.7666667,6.6,97.68660545,1,1991,6.430444444,6.028666667,6.048166667,1,1991
2_1991,6205.937,77.9395,135.5666667,6.833333333,98.59756007,2,1991,5.864065934,5.5603125,5.689375,2,1991
3_1991,6264.54,79.12553333,136.6,6.866666667,99.22763742,3,1991,5.645217391,5.379375,5.453125,3,1991
4_1991,6363.102,79.0948,137.7333333,7.1,99.17958023,4,1991,4.818478261,4.549032258,4.592903226,4,1991
1_1992,6470.763,78.775,138.6666667,7.366666667,99.30417619,1,1992,4.024285714,3.898870968,3.995967742,1,1992
2_1992,6566.641,79.82423333,139.7333333,7.6,99.65048373,2,1992,3.774065934,3.67984127,3.796507937,2,1992
3_1992,6680.803,80.04136667,140.8,7.633333333,99.69459675,3,1992,3.25923913,3.08359375,3.1509375,3,1992
4_1992,6729.459,80.0872,142.0333333,7.366666667,99.93456509,4,1992,3.034891304,3.07016129,3.243870968,4,1992
1_1993,6808.939,80.4572,143.0666667,7.133333333,100.0794347,1,1993,3.042333333,2.96,3.087213115,1,1993
2_1993,6882.098,80.31806667,144.1,7.066666667,99.76273709,2,1993,2.997252747,2.967619048,3.080952381,2,1993
3_1993,7013.738,80.11133333,144.7666667,6.8,99.60908336,3,1993,3.057717391,3.00125,3.11875,3,1993
4_1993,7115.652,81.09406667,145.9666667,6.633333333,100.0638441,4,1993,2.98826087,3.059354839,3.205,4,1993
1_1994,7246.931,81.5002,146.7,6.566666667,100.6779448,1,1994,3.209333333,3.256451613,3.47,1,1994
2_1994,7331.075,82.7035,147.5333333,6.2,100.9384883,2,1994,3.938021978,3.999032258,4.424516129,2,1994
3_1994,7455.288,83.11433333,148.9,6,100.8663007,3,1994,4.485434783,4.48046875,4.8915625,3,1994
4_1994,7522.289,84.20603333,149.7666667,5.633333333,100.591264,4,1994,5.167934783,5.282295082,5.779672131,4,1994
1_1995,7580.997,84.12233333,150.8666667,5.466666667,99.91479099,1,1995,5.802777778,5.735322581,6.038387097,1,1995
